rank,company,name_ja,theme,thesis,expected_value,relative_momentum,risks,current_position,confidence_pct,data_quality,as_of
1,nabtesco,ナブテスコ,robotics_fa,テーマスコア93(confidence 35%)、テーマ内相対モメンタム-1.6%(直近65営業日)、テーマrisk_level=0/3,92.9,-1.613933241376353,テーマrisk_level=0/3(risk_level_by_theme.csv参照),非保有,0.35,estimated,2026-08-12
2,kokusai_electric,KOKUSAI ELECTRIC,semicap,テーマスコア92(confidence 55%)、テーマ内相対モメンタム+19.9%(直近65営業日)、テーマrisk_level=0/3,92.3,19.93070956095201,テーマrisk_level=0/3(risk_level_by_theme.csv参照),非保有,0.55,estimated,2026-08-12
3,advantest,アドバンテスト,semicap,テーマスコア92(confidence 55%)、テーマ内相対モメンタム+17.3%(直近65営業日)、テーマrisk_level=0/3,92.3,17.25465924484592,テーマrisk_level=0/3(risk_level_by_theme.csv参照),非保有,0.55,estimated,2026-08-12
4,shibaura,芝浦メカトロニクス,semicap,テーマスコア92(confidence 55%)、テーマ内相対モメンタム-14.1%(直近65営業日)、テーマrisk_level=0/3,92.3,-14.132085749585437,テーマrisk_level=0/3(risk_level_by_theme.csv参照),非保有,0.55,estimated,2026-08-12
5,towa,TOWA,semicap,テーマスコア92(confidence 55%)、テーマ内相対モメンタム-27.5%(直近65営業日)、テーマrisk_level=0/3,92.3,-27.505096758551502,テーマrisk_level=0/3(risk_level_by_theme.csv参照),非保有,0.55,estimated,2026-08-12
6,nvidia,NVIDIA,ai_datacenter,テーマスコア89(confidence 60%)、テーマ内相対モメンタム+5.5%(直近65営業日)、テーマrisk_level=1/3,89.1,5.485094643448123,テーマrisk_level=1/3(risk_level_by_theme.csv参照),非保有,0.6,estimated,2026-08-12
7,furukawa_electric,古河電工,ai_datacenter,テーマスコア89(confidence 60%)、テーマ内相対モメンタム-1.6%(直近65営業日)、テーマrisk_level=1/3,89.1,-1.553400980318552,テーマrisk_level=1/3(risk_level_by_theme.csv参照),非保有,0.6,estimated,2026-08-12
8,sumitomo_electric,住友電工,ai_datacenter,テーマスコア89(confidence 60%)、テーマ内相対モメンタム-17.8%(直近65営業日)、テーマrisk_level=1/3,89.1,-17.76820047823403,テーマrisk_level=1/3(risk_level_by_theme.csv参照),非保有,0.6,estimated,2026-08-12
9,honeywell,Honeywell (Quantinuum 代理),quantum,テーマスコア88(confidence 25%)、テーマ内相対モメンタム+5.6%(直近65営業日)、テーマrisk_level=0/3,88.4,5.552033470398745,テーマrisk_level=0/3(risk_level_by_theme.csv参照),非保有,0.25,estimated,2026-08-12
10,ibm,IBM,quantum,テーマスコア88(confidence 25%)、テーマ内相対モメンタム+4.6%(直近65営業日)、テーマrisk_level=0/3,88.4,4.571524492217318,テーマrisk_level=0/3(risk_level_by_theme.csv参照),非保有,0.25,estimated,2026-08-12
11,rigetti,Rigetti,quantum,テーマスコア88(confidence 25%)、テーマ内相対モメンタム-1.6%(直近65営業日)、テーマrisk_level=0/3,88.4,-1.6179331077722836,テーマrisk_level=0/3(risk_level_by_theme.csv参照),非保有,0.25,estimated,2026-08-12
12,dwave,D-Wave,quantum,テーマスコア88(confidence 25%)、テーマ内相対モメンタム-7.0%(直近65営業日)、テーマrisk_level=0/3,88.4,-6.980526504369976,テーマrisk_level=0/3(risk_level_by_theme.csv参照),非保有,0.25,estimated,2026-08-12
13,ionq,IonQ,quantum,テーマスコア88(confidence 25%)、テーマ内相対モメンタム-7.1%(直近65営業日)、テーマrisk_level=0/3,88.4,-7.077131820872548,テーマrisk_level=0/3(risk_level_by_theme.csv参照),非保有,0.25,estimated,2026-08-12
