date,score,confidence
2026-07-02,90.3,0.663
2026-07-03,88.5,0.663
2026-07-04,88.2,0.663
2026-07-05,90.3,0.663
2026-07-06,90.3,0.663
2026-07-07,89.2,0.663
2026-07-08,90.3,0.663
2026-07-09,90.8,0.663
2026-07-10,93.2,0.663
2026-07-11,93.2,0.663
2026-07-12,93.2,0.663
2026-07-13,89.6,0.663
2026-07-14,91.3,0.663
2026-07-15,90.9,0.663
2026-07-17,85.1,0.663
2026-07-18,85.1,0.663
2026-07-19,85.1,0.663
2026-07-20,85.7,0.663
2026-07-21,88.1,0.663
2026-07-22,89.1,0.663
2026-07-23,87.1,0.663
2026-07-24,86.7,0.663
2026-07-25,86.7,0.663
2026-07-26,86.7,0.663
2026-07-27,83.8,0.663
2026-07-28,84.1,0.663
2026-07-29,80.4,0.663
2026-07-30,83.0,0.663
2026-07-31,85.9,0.663
