date,score,confidence
2026-07-02,99.2,1.0
2026-07-03,99.2,1.0
2026-07-04,99.2,1.0
2026-07-05,99.2,1.0
2026-07-06,99.2,1.0
2026-07-07,99.4,1.0
2026-07-08,99.2,1.0
2026-07-09,99.4,1.0
2026-07-10,99.5,1.0
2026-07-11,99.5,1.0
2026-07-12,99.5,1.0
2026-07-13,99.1,1.0
2026-07-14,99.2,1.0
2026-07-15,99.0,1.0
2026-07-17,98.6,1.0
2026-07-18,98.6,1.0
2026-07-19,98.6,1.0
2026-07-20,98.6,1.0
2026-07-21,99.0,1.0
2026-07-22,99.0,1.0
2026-07-23,58.9,1.0
2026-07-24,58.6,1.0
2026-07-25,58.6,1.0
2026-07-26,58.6,1.0
2026-07-27,58.4,1.0
2026-07-28,58.2,1.0
2026-07-29,58.0,1.0
2026-07-30,58.3,1.0
2026-07-31,91.1,1.0
2026-08-01,91.1,1.0
2026-08-02,91.1,1.0
2026-08-03,91.1,1.0
2026-08-04,91.6,1.0
2026-08-05,91.4,1.0
2026-08-07,91.8,1.0
2026-08-08,91.8,1.0
2026-08-09,91.8,1.0
2026-08-10,91.3,1.0
2026-08-11,91.5,1.0
2026-08-12,91.8,1.0
2026-08-13,91.8,1.0
