target,name_ja,outlook,action,extended_score,confidence_pct,dip_decision,dip_score,sell_score,as_of
fanuc,ファナック,不明,要確認,,0.0,過熱警戒,15.0,60.0,2026-07-02
fujikura,フジクラ,中立-強気,保有継続(監視),97.1,1.0,売り時候補,20.0,75.0,2026-07-02
harmonic,ハーモニック・ドライブ・システムズ,不明,要確認,,0.0,過熱警戒,15.0,60.0,2026-07-02
kioxia,キオクシア,不明,要確認,,0.0,過熱警戒,15.0,60.0,2026-07-02
lasertec_rorze,ローツェ,中立-強気,保有継続(監視),99.0,1.0,売り時候補,20.0,75.0,2026-07-02
murata,村田製作所,不明,要確認,,0.0,過熱警戒,15.0,60.0,2026-07-02
qnt_token,Quant Network (QNT トークン),不明,要確認,,0.0,保有継続,40.0,30.0,2026-07-02
quantinuum,Quantinuum,不明,要確認,,0.0,,,,2026-07-02
spacex,SpaceX,不明,要確認,,0.0,,,,2026-07-02
tesla,Tesla,不明,要確認,,0.0,保有継続,40.0,30.0,2026-07-02
xrp,XRP,中立(要確認),保有継続,100.0,0.103,押し目候補,65.0,10.0,2026-07-02
yaskawa,安川電機,不明,要確認,,0.0,過熱警戒,15.0,60.0,2026-07-02
