date,score,confidence
2026-07-02,92.7,0.708
2026-07-03,92.7,0.708
2026-07-04,94.1,0.708
2026-07-05,92.7,0.708
2026-07-06,92.7,0.708
2026-07-07,92.5,0.708
2026-07-08,92.3,0.708
2026-07-09,92.4,0.708
2026-07-10,94.0,0.708
2026-07-11,92.6,0.708
2026-07-12,92.6,0.708
2026-07-13,92.3,0.708
2026-07-14,90.2,0.708
2026-07-15,93.8,0.708
2026-07-17,98.1,0.708
2026-07-18,98.1,0.708
2026-07-19,98.1,0.708
2026-07-20,98.1,0.708
2026-07-21,98.4,0.708
2026-07-22,98.5,0.708
2026-07-23,69.0,0.708
2026-07-24,68.7,0.708
2026-07-25,68.7,0.708
2026-07-26,68.7,0.708
2026-07-27,68.4,0.708
2026-07-28,67.5,0.708
2026-07-29,67.1,0.708
2026-07-30,67.3,0.708
2026-07-31,92.2,0.708
2026-08-01,92.2,0.708
2026-08-02,92.2,0.708
2026-08-03,92.2,0.708
2026-08-04,92.8,0.708
2026-08-05,93.2,0.708
2026-08-07,93.0,0.708
2026-08-08,93.0,0.708
2026-08-09,93.0,0.708
2026-08-10,93.0,0.708
2026-08-11,93.1,0.708
2026-08-12,93.5,0.708
2026-08-13,93.6,0.708
2026-08-14,90.9,0.708
2026-08-15,93.6,0.708
2026-08-16,93.6,0.708
2026-08-17,93.9,0.708
