indicator,target,feature,lag_days,horizon_days,spearman_r,spearman_p,pearson_r,pearson_p,n_obs,q_spearman
xrp_price,xrp,xrp_price_dz,7,1,-0.016,0.5040965273444354,0.0335,0.1630988597886763,1735,0.5936
xrp_price,xrp,xrp_price_ma30,7,1,-0.0445,0.05867935905750288,-0.0289,0.2193739041767418,1804,0.0948
xrp_price,xrp,xrp_price_ma90,7,1,-0.0397,0.09492605282375177,-0.0321,0.1768801678531193,1774,0.1407
xrp_price,xrp,xrp_price_mom21,7,1,-0.0076,0.7464825082263453,0.0277,0.24083407241569543,1797,0.8039
xrp_price,xrp,xrp_price_yoy252,7,1,0.0177,0.4828757392953127,0.0087,0.7301429096923109,1566,0.5767
xrp_price,xrp,xrp_price_zscore,7,1,-0.0004,0.9863167723185833,0.0289,0.22559651860043867,1756,0.9863
xrp_price,xrp,xrp_price_dz,7,7,-0.0443,0.06558850092484653,0.076,0.001566883545428338,1729,0.1046
xrp_price,xrp,xrp_price_ma30,7,7,-0.1209,2.698414012964469e-07,-0.0823,0.0004780146288240913,1798,0.0
xrp_price,xrp,xrp_price_ma90,7,7,-0.1027,1.5281030551932276e-05,-0.0904,0.00014141718012903614,1768,0.0
xrp_price,xrp,xrp_price_mom21,7,7,-0.0405,0.08677861185760392,0.0511,0.030733421720337523,1791,0.1309
xrp_price,xrp,xrp_price_yoy252,7,7,0.0193,0.4472280676382229,0.0118,0.6423391350460779,1560,0.5367
xrp_price,xrp,xrp_price_zscore,7,7,-0.0233,0.33084885755724147,0.0749,0.0017140015060764567,1750,0.4232
xrp_price,xrp,xrp_price_dz,7,30,-0.1386,9.042759652394018e-09,-0.045,0.06328267950489219,1706,0.0
xrp_price,xrp,xrp_price_ma30,7,30,-0.2215,3.670101760894053e-21,-0.1388,4.264344883771769e-09,1775,0.0
xrp_price,xrp,xrp_price_ma90,7,30,-0.1957,1.6001690588695014e-16,-0.1455,1.0319949198616682e-09,1745,0.0
xrp_price,xrp,xrp_price_mom21,7,30,-0.1331,1.9591252535922316e-08,-0.0218,0.35861926178588655,1768,0.0
